airline,date_of_journey,source,destination,dep_time,arrival_time,duration,total_stops,additional_info,price
Indigo,2019-06-09,Kolkata,Banglore,15:30:00,18:05:00,155,0.0,no info,5224
Multiple Carriers,2019-03-21,Delhi,Cochin,09:45:00,16:10:00,385,1.0,no info,7242
Multiple Carriers,2019-06-27,Delhi,Cochin,09:15:00,19:00:00,585,1.0,no info,11622
Jet Airways,2019-06-03,Banglore,Delhi,07:10:00,10:10:00,180,0.0,In-flight meal not included,5769
Goair,2019-03-03,Delhi,Cochin,07:00:00,12:50:00,350,1.0,no info,7378
Multiple Carriers,2019-06-09,Delhi,Cochin,10:20:00,21:00:00,640,1.0,no info,7005
Jet Airways,2019-05-21,Delhi,Cochin,07:05:00,19:00:00,715,1.0,In-flight meal not included,12239
Jet Airways,2019-04-01,Kolkata,Banglore,21:10:00,04:40:00,450,1.0,no info,13364
Goair,2019-06-18,Banglore,Delhi,07:45:00,10:40:00,175,0.0,no info,3419
Vistara,2019-03-09,Banglore,New Delhi,19:40:00,22:20:00,160,0.0,no info,7450
Jet Airways,2019-06-24,Delhi,Cochin,19:30:00,12:35:00,1025,2.0,no info,13014
Indigo,2019-05-12,Kolkata,Banglore,18:05:00,23:30:00,325,1.0,no info,6218
Spicejet,2019-03-21,Delhi,Cochin,06:10:00,11:20:00,310,1.0,no info,6065
Indigo,2019-05-21,Delhi,Cochin,20:25:00,01:30:00,305,1.0,no info,5054
Indigo,2019-06-09,Kolkata,Banglore,14:25:00,16:55:00,150,0.0,no info,5644
Jet Airways,2019-03-06,Delhi,Cochin,22:20:00,19:45:00,1285,1.0,no info,17024
Vistara ,2019-04-06,Banglore,Delhi,11:30:00,14:20:00,170,0.0,no info,5969
Indigo,2019-05-21,Delhi,Cochin,15:00:00,01:30:00,630,1.0,no info,6896
Indigo,2019-04-12,Banglore,Delhi,07:10:00,10:05:00,175,0.0,no info,4823
Jet Airways,2019-05-12,Kolkata,Banglore,20:25:00,10:55:00,870,1.0,no info,14151
Jet Airways,2019-06-06,Delhi,Cochin,10:00:00,04:25:00,1105,1.0,no info,14714
Multiple Carriers,2019-06-12,Delhi,Cochin,09:00:00,21:00:00,720,1.0,no info,13587
Jet Airways,2019-06-15,Delhi,Cochin,13:00:00,04:25:00,925,1.0,In-flight meal not included,10262
Jet Airways,2019-05-21,Mumbai,Hyderabad,19:35:00,21:05:00,90,0.0,In-flight meal not included,3210
Jet Airways,2019-04-01,Kolkata,Banglore,09:35:00,21:05:00,690,1.0,In-flight meal not included,8066
Indigo,2019-03-06,Delhi,Cochin,17:10:00,01:35:00,505,1.0,no info,14871
Indigo,2019-06-06,Chennai,Kolkata,11:35:00,14:00:00,145,0.0,no info,3858
Multiple Carriers,2019-06-01,Delhi,Cochin,18:15:00,01:30:00,435,1.0,no info,13377
Indigo,2019-05-27,Banglore,Delhi,01:30:00,04:15:00,165,0.0,no info,3419
Air Asia,2019-06-15,Delhi,Cochin,07:55:00,22:25:00,870,1.0,no info,6253
Jet Airways,2019-05-27,Delhi,Cochin,18:15:00,04:25:00,610,1.0,In-flight meal not included,12898
Air India,2019-05-27,Delhi,Cochin,06:05:00,09:25:00,1640,1.0,no info,7480
Spicejet,2019-06-24,Banglore,Delhi,21:10:00,00:05:00,175,0.0,no info,3971
Jet Airways,2019-04-01,Kolkata,Banglore,20:25:00,22:05:00,1540,1.0,no info,12121
Air India,2019-06-06,Mumbai,Hyderabad,19:30:00,20:45:00,75,0.0,no info,3100
Air India,2019-06-06,Delhi,Cochin,17:40:00,08:15:00,875,1.0,no info,7258
Air India,2019-05-03,Kolkata,Banglore,20:45:00,23:20:00,155,0.0,no info,4145
Air Asia,2019-03-03,Banglore,New Delhi,23:25:00,02:10:00,165,0.0,no info,6477
Jet Airways,2019-03-18,Banglore,New Delhi,14:05:00,05:05:00,900,1.0,no info,13555
Air Asia,2019-05-18,Banglore,Delhi,04:55:00,07:45:00,170,0.0,no info,4282
